x_m,y_m,vx_mps,heading_rad,kappa_radpm
-0.6036501219807356,-0.2308281433781194,5.358138610699507,0.22436851198311758,0.03938258962205457
-0.5105769302340506,-0.20942550343099997,5.177803527700607,0.22581107613027854,-0.08034490371744188
-0.41734799999372574,-0.1887302230661182,4.990956759126335,0.20987548879227313,-0.15066788088785937
-0.3238153949975379,-0.16941713060573935,4.796837434338259,0.1947443865228563,-0.3059252784536275
-0.2297728634113291,-0.15282520140354208,4.594523846000676,0.15208946250530112,-0.464715387627873
-0.1350847648150655,-0.1403702908514458,4.688856173372393,0.10971723947601743,-0.4462047728318882
-0.03996280618226496,-0.1319051414473141,4.8461708816933395,0.06954118443230863,-0.3469279697102227
0.05539578899200587,-0.1266312077642205,4.998537007422512,0.04186773597026325,-0.284088122893461
0.15085828448735603,-0.12396217179871238,5.146394098256798,0.014047887642665059,-0.28358045864510856
0.24636039454825157,-0.1238722717702396,5.290120245757406,-0.01186525028368333,-0.2651936654363574
0.3418323119248902,-0.12620214461547566,5.43004348183073,-0.03659751210356105,-0.24238638142280375
0.4372272494855254,-0.13073969001367533,5.566450593921804,-0.05842634353999003,-0.24915437554689102
0.5324802436431932,-0.13759364364994658,5.699594039453372,-0.08618672162129995,-0.2958380131565715
0.6275122225077151,-0.14706897432535576,5.759379362031806,-0.11234657942214939,-0.2957441530493513
0.7222270154401109,-0.15926805069179087,5.766410835041442,-0.1434771653189155,-0.24926207831731925
0.8166494328073981,-0.17360061449429923,5.59924047692929,-0.15493162958582338,-0.09401245287503193
0.9109116767841496,-0.18892385047047444,5.426923061780344,-0.1681247780114771,-0.12136658305928312
1.00501216200043,-0.205219061332304,5.248951697099464,-0.17241286712632517,0.02851673162130631
1.0991624064247019,-0.22124168225546298,5.06473038951565,-0.16122348699836206,0.25824895796818126
1.1936743055348777,-0.23491482382194184,4.873550442796643,-0.12324639947603673,0.41302565144637005
1.2886438042383932,-0.24500328351131714,5.025086458806789,-0.0899044409687265,0.3235342714693922
1.383875906902293,-0.2521362372239455,5.172184636928902,-0.06075599870682666,0.24973931695563933
1.4792541005328304,-0.2570130611621304,5.31521344053871,-0.04294365068945867,0.15959950554117197
1.57469464067556,-0.26039485794944833,5.45449300288151,-0.02815869518413182,0.14057536098974685
1.6701725668285239,-0.26250957228763133,5.590303562283837,-0.016793886942851905,0.09976574984906904
1.765666023683682,-0.2637096994455146,5.722892093905262,-0.00888489502899838,0.06527859579191082
1.8611651728147098,-0.2643161129015068,5.76122455575981,-0.0043953841771389,0.028871926929870874
1.9566655943723725,-0.2646587112741455,5.593899210916283,-0.0033501255925092043,-0.00699137467356147
2.052165777520236,-0.26506512593537956,5.421412028419332,-0.005733161555941151,-0.04297427404047229
2.147663474574419,-0.2658639473748548,5.243253606482316,-0.011574689359225992,-0.07917750815682942
2.2431524899138493,-0.2673824863033614,5.058824802450646,-0.02077495068352144,-0.11385280970325898
2.338619076452963,-0.2699491625757471,4.867412904396936,-0.03365105151577842,-0.15572735636973464
2.4340387337304734,-0.2738911230752428,4.668158992781824,-0.04912678251594316,-0.16836306074380816
2.5293749661478073,-0.2795093630583701,4.460012150419527,-0.07050505648070547,-0.2839538896894666
2.6245323565554157,-0.2875927109051858,4.241663397994921,-0.09928184955593679,-0.30990521839770374
2.71936885527507,-0.298843389566876,4.011447168029242,-0.14198010369335978,-0.6096297344868692
2.8135087577867957,-0.31490477907261144,4.194247057803084,-0.19298614495536065,-0.43913910087636204
2.9068387101959035,-0.33515451274291935,4.369405952974595,-0.23439587254930278,-0.4360164003891441
2.9992391979035418,-0.35928982755642275,4.279408826626133,-0.2769028341907028,-0.45488730370994057
3.090526709575693,-0.38734217247459846,4.051338038895996,-0.31885774841631576,-0.4290526318404158
3.180505869110361,-0.4193436733344988,3.809637765641985,-0.3669038341107524,-0.574045851911113
3.2686323990193316,-0.4561413205052679,3.551526419077529,-0.42550366201729173,-0.6696283594960265
3.354133518024046,-0.4986828952263192,3.2731238756584906,-0.5020019985625975,-0.9156798321791548
3.4356768109330247,-0.5483875573959591,3.173985562214882,-0.5942833744230779,-0.9737751053408906
3.5125106553265772,-0.6051180569109382,3.4020852942200785,-0.6730335885751695,-0.701045004429559
3.5850244877868387,-0.6672659642555159,3.4394727686959556,-0.7461726551730495,-0.8292485731702913
3.6524877575564814,-0.7348657146173526,3.3560820267104963,-0.8273095485340144,-0.8709703580511304
3.714277216696684,-0.8076827985632518,3.154784492450474,-0.9049430755848223,-0.7489087927060248
3.7700977781044465,-0.8851888254461774,2.837721831646998,-0.9964604110022793,-1.2182292087445195
3.817062738725901,-0.968332771822218,2.862710180518609,-1.1155104607658677,-1.1970543788274304
3.854323275733203,-1.056263685957597,3.1136970915047093,-1.2213028494938627,-1.0074564401622452
3.883001383874066,-1.1473541418262017,3.345909379771796,-1.3064983704413933,-0.7735164475274651
3.9050375579161476,-1.2402769702721572,3.563019727372399,-1.3637196077355407,-0.4203844099035843
3.922358324173405,-1.3341969601314512,3.5021546866111732,-1.4198061459174558,-0.7998302316018374
3.9332526335608025,-1.429071251004883,3.7101330769869434,-1.49012088021402,-0.6403273614992259
3.937983112382134,-1.5244550992608537,3.5187351159129716,-1.5529962359958651,-0.6781679603723333
3.9363457192192035,-1.6199437463214823,3.2375139869904923,-1.6254984388911355,-0.8411784504736836
3.9268644090878,-1.7149722702636798,2.9294191943044057,-1.7198931793107428,-1.1431562149227246
3.907373315070883,-1.8084583138312742,2.8031825260287824,-1.834411605108956,-1.2484349117931697
3.877151726583745,-1.899048708016179,2.8805461837987183,-1.9499848095550578,-1.1822762209061866
